When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation,
2/26/2020,Ecuador,,,,Ecuador,Ecuador Chequea,You can maintain the alkaline state of the body to avoid contagion.,WhatsApp,not available,http://www.ecuadorchequea.com/falseta-el-tec-de-monterrey-recomienda-mantener-el-cuerpo-en-un-estado-alcalino/,Spanish,False ,Please click the link to read the full article,
3/1/2020,Spain,,,,Spain,Maldita.es,An alkaline diet can prevent coronavirus infection.,WhatsApp,not available,https://maldita.es/malditaciencia/2020/03/01/cuerpo-alcalino-no-previene-coronavirus-tec-monterrey/,Spanish,False ,"No food or diet, alkaline or otherwise, can prevent the infection",
3/25/2020,Nigeria,,,,Nigeria,AfricaCheck,Coronavirus has a pH level of 5.5 to 8.5 and can be prevented and cured by eating alkaline foods.,"Facebook, WhatsApp",https://africacheck.org/wp-content/uploads/2020/03/alkaline-1.png,https://africacheck.org/fbcheck/coronavirus-doesnt-have-own-ph-level-alkaline-food-wont-beat-it/,English,False ,"There is no evidence that the new coronavirus which causes COVID-19 has a unique pH level. And the study referred to in the claim had nothing to do with this particular virus. It was published in 1991, long before the emergence of the new virus.",
3/25/2020,India,,,,India,Factly,Eating alkaline foods of pH level above 8.5 can kill the SARS-CoV-2 virus.,Social Media,https://www.facebook.com/jbnagarrunners/posts/2850281448380922,https://factly.in/message-suggesting-that-alkaline-foods-can-kill-sars-cov-2-virus-is-fake/,English,FALSE,"The research paper published in 1991 talks about the MHV4 virus, not about the SARS-CoV-2 virus. Some of the pH levels given in the post are not correct. Also, there is no scientific evidence to prove that eating alkaline foods can kill the SARS-CoV-2 virus.",
3/29/2020,India,,,,India,The Quint,"pH level of coronavirus varies from 5.5 to 8.5 and to beat the virus, we should consume more alkaline food.","Facebook, Twitter, WhatsApp",https://www.facebook.com/100218131367421/videos/213445306640489/?v=213445306640489&external_log_id=26ce61969bd419239b95ce3c9b6aeecf&q=research%3A%20journal%20of%20virology,https://www.thequint.com/news/webqoof/no-ph-value-of-covid-19-experts-deny-its-link-with-alkaline-foods-fact-check,English,Misleading,"Dr. Shaheed Jameel, a leading virologist, said that viruses do not have pH values.",
3/31/2020,India,,,,India,Factly,Eating alkaline foods with a pH level above 8.5 can kill the SARS-CoV-2 virus.,Social Media,https://archive.fo/OO0ze,https://factly.in/telugu-message-suggesting-that-alkaline-foods-can-kill-sars-cov-2-virus-is-fake/,Telugu,FALSE,"The Journal of virology and antiviral research paper mentioned in the post talks about the 'MHV4' virus, not about the 'SARS-CoV-2' virus. Some of the pH levels given in the post are not correct. Also, there is no scientific evidence to prove that eating alkaline foods can kill the SARS-CoV-2 virus.",
4/1/2020,United States,,,,United States,LeadStories,Alkaline diet protects against the coronavirus.,Facebook,https://www.facebook.com/photo.php?fbid=3476128732413516&set=a.233371513355937&type=3&theater,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Alkaline-Diet-Does-NOT-Prevent-You-From-Getting-Coronavirus.html,English,False ,Still no current cure and no medical evidence to support this claim.,
4/2/2020,Bolivia,,,,Bolivia,Bolivia Verifica,Alkaline food helps counter COVID-19.,WhatsApp,screenshots: https://boliviaverifica.bo/los-alimentos-alcalinos-no-ayudan-a-contrarrestar-el-coronavirus/,https://boliviaverifica.bo/los-alimentos-alcalinos-no-ayudan-a-contrarrestar-el-coronavirus/,Spanish,False ,The OMS published an article denying these myths about COVID-19,x
4/2/2020,Indonesia,,,,Indonesia,TEMPO,The coronavirus can be killed by consuming alkaline foods.,WhatsApp,https://cdn.tmpo.co/data/2020/04/02/id_927837/927837_720.jpg,https://cekfakta.tempo.co/fakta/715/fakta-atau-hoaks-benarkah-virus-corona-bisa-dibunuh-dengan-konsumsi-makanan-alkali,Bahasa Indonesia,False ,"This claim cites research published in 1991, long before the coronavirus appeared in December 2019. Viruses, including the coronavirus, have no pH. Therefore, consumption of alkaline foods with a higher pH cannot kill the coronavirus.",x
4/4/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,An alkaline diet could prevent COVID-19.,WhatsApp,,https://efectococuyo.com/cocuyo-chequea/la-dieta-alcalina-ayuda-a-prevenir-la-covid-19/,Spanish,False ,There is no relation between alkaline food and the way the virus interacts with the body.,
