When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation
3/15/2020,Guatemala,,,,Guatemala,Agencia Ocote,Helicopter of the armed forces disinfects the streets at night.,Social networks,,https://agenciaocote.com/bulo-ningun-helicoptero-de-la-fuerza-aerea-esparcira-desinfectante/,Spanish,False ,This claim is false.
3/16/2020,Spain,,,,Spain,EFE Verifica,Helicopters will spray Spanish cities to disinfect them from coronaviruses.,"Twitter, WhatsApp",https://twitter.com/VOSTeuskadi/status/1239275399235813376?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1239275399235813376&ref_url=https%3A%2F%2Fwww.efe.com%2Fefe%2Fespana%2Fefeverifica%2Fhelicopteros-no-fumigan-ciudades-espanolas-para-desinfectarlas-de-coronavirus%2F50001435-4197286,https://www.efe.com/efe/espana/efeverifica/helicopteros-no-fumigan-ciudades-espanolas-para-desinfectarlas-de-coronavirus/50001435-4197286,Spanish,False ,This claim is a hoax. The Spanish Government has no plans to spray cities.
3/17/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,Helicopters are going to spread chemicals against the coronavirus.,"Facebook, WhatsApp",not available,https://efectococuyo.com/cocuyo-chequea/helicoptero-no-desinfectante-covid19/,Spanish,False ,"This is a false claim circulating in many Spanish-speaking countries, from Spain to Honduras."
3/17/2020,India,,,,India,Factly,Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,Facebook,https://archive.fo/HGmxo,https://factly.in/telugu-oman-is-not-releasing-any-pesticides-in-the-air-to-eliminate-coronavirus/?check=1,Telugu,False ,Oman's Health Ministry clarified it is not conducting any such operation with helicopters.
3/18/2020,Argentina,,,,Argentina,Chequeado,Helicopters of the Argentine Air Force will spray disinfectant against the coronavirus.,"Facebook, WhatsApp",https://chequeado.com/wp-content/uploads/2020/03/66-1280x549.png,https://chequeado.com/verificacionfb/es-falso-que-helicopteros-de-la-fuerza-aerea-argentina-van-a-pulverizar-desinfectante-contra-el-coronavirus/,Spanish,False ,"The alleged measure was denied by the Argentine Ministry of Defense.
The same message circulates, and was denied, in different countries."
3/18/2020,India,,,,India,Factly,Oman is releasing a special chemical into the sky to eradicate coronavirus with military helicopters.,Many social media platforms,https://www.facebook.com/photo.php?fbid=2613347195653143&set=a.1799848400336364&type=3&theater,https://factly.in/telugu-oman-is-not-releasing-any-pesticides-in-the-air-to-eliminate-coronavirus/,Telugu,False ,"The Oman health minister said that they had never conducted such operations with military helicopters. When the same message went viral in India, the Press Information Bureau has said that it is a fake message."
3/18/2020,Egypt,,,,"Middle East, North Africa",Misbar,Military helicopters sprays pesticides against the coronavirus in Egypt.,"Facebook, Twitter",https://www.facebook.com/groups/423801387744356/permalink/1831472866977194/,https://misbar.com/factcheck/5e71ede9d4a229562c2bb2c5,Arabic,False ,No such decision has been made by the Egyptian military forces
3/18/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,Five Helicopters will spray disinfectants into the air to eradicate the coronaviruses.,Facebook,,https://tfc-taiwan.org.tw/articles/3384,Chinese (traditional),False ,"Similar rumors have circulated in multiple languages in many countries, including South Africa, India, USA. The version circulating in Taiwan connected to America. New York City Emergency Management Department has tweeted that the rumor is false. "
3/18/2020,Spain,,,,Spain,Newtral.es,Helicopters are going to spread 'medicines' against the coronavirus in Spain.,WhatsApp,not available,https://www.newtral.es/helicopteros-desinfectar-calles-11-noche/20200318/,Spanish,False ,The Spanish Defense ministry denied the claim.
3/18/2020,Spain,,,,Spain,Newtral.es,Helicopters and military aircraft spraying and disinfecting the streets at 11 p.m. in Spain,,,https://www.newtral.es/helicopteros-desinfectar-calles-11-noche/20200318/?check=1,Spanish,False ,Air Force and Ministry of Defense sources deny it.
3/20/2020,Germany,,,,Germany,Correctiv,Five helicopters are spraying disinfectants over German cities.,WhatsApp,,https://correctiv.org/faktencheck/2020/03/24/nein-hubschrauber-verspruehen-in-deutschland-kein-desinfektionsmittel-im-kampf-gegen-das-coronavirus,German,False ,There are no helicopters spraying disinfectants over Germany and there are no plans to do so.
3/22/2020,United States,,,,United States,LeadStories,Helicopters are spraying disinfectants to stop the spread of coronavirus.,Facebook,,https://leadstories.com/hoax-alert/2020/03/fact-check-helicopters-are-not-spraying-disinfectants-to-try-to-eradicate-coronavirus.html,English,False ,"This is a false rumor spreading on social media, as well as through popular messaging services. NYC Emergency Management declared it a hoax. "
3/22/2020,Netherlands,,,,Netherlands,Nieuwscheckers,Five helicopters will disinfect the Netherlands to extinguish the coronavirus. Citizens have to stay inside.,"WhatsApp, SMS",,https://nieuwscheckers.nl/nieuwscheckers/broodje-aap-over-desinfectie-door-5-helicopters-raast-de-wereld-rond/,Dutch,False ,Different versions of this message have been circulating since March 10. The Dutch police force has confirmed no such measures have been or will be taken.
3/23/2020,North Macedonia,,,,North Macedonia,Vistinomer,"After 23:30, the city will be disinfected by a helicopter and the doors and windows should be closed.",Many social media platforms,,https://vistinomer.mk/ne-treba-da-gi-zatvorame-vratite-i-prozorcite-posle-2330-chasot/,Macedonian,False ,This has not been announced by authorities. This hoax has spread in many other countries.
3/23/2020,United States,,,,United States,PolitiFact,"""Special military helicopters will spray pesticide against the coronavirus in the skies all over the country.""",Chain message,https://www.facebook.com/permalink.php?story_fbid=2582723465335347&id=100007931550436,https://www.politifact.com/factchecks/2020/mar/24/chain-message/neighbors-app-spreads-false-rumors-about-mi/,English,False ,There is no evidence the United States military is using helicopters to spray pesticide in an effort to kill the coronavirus.
3/24/2020,Sri Lanka,Philippines,,,"Sri Lanka, Philippines",AFP,Purported advisories urging residents to stay indoors while national air force helicopters spray disinfectant over homes to kill off the novel coronavirus have been circulated online in Sri Lanka and the Philippines.,"Facebook, WhatsApp",https://perma.cc/H887-VGHY,https://factcheck.afp.com/false-claim-circulates-online-certain-countries-asia-are-using-helicopters-spray-covid-19,English,False ,The claim is false. Both the Sri Lankan and Philippine governments said their air forces were not involved in such operations.
3/26/2020,Poland,,,,Poland,Demagog,Viral message claiming that disinfection will be conducted using helicopters in Poland.,"WhatsApp, Facebook",https://www.facebook.com/photo.php?fbid=2802436129877421&set=a.910498632404523&type=3,https://demagog.org.pl/analizy_i_raporty/nie-helikoptery-nie-beda-dezynfekowac-polski-z-koronawirusa/,Polish,False ,The claim was debunked by local authorities.
3/27/2020,Turkey,,,,Turkey,Teyit,Some cities in Turkey are going to be disinfected by helicopters.,WhatsApp,,https://teyit.org/sehirlerin-koronaviruse-karsi-helikopterlerle-dezenfekte-edilecegi-iddiasi/,Turkish,False ,Both national and local authorities denied the measure.
4/2/2020,Colombia,,,,Colombia,Colombiacheck,"""President Duque uses a State helicopter to fly over Colombia with a priest and bless our territory with the Virgin Mary and the Blessed Sacrament. Amen #GrandeMiPresidente ”.",Facebook,https://www.facebook.com/groups/698376256944047/permalink/2929911340457183/,https://colombiacheck.com/chequeos/helicoptero-con-sacerdote-no-es-de-fuerza-publica-colombiana,Spanish,False ,The experts we consulted concluded that the viral video aircraft is a civil helicopter.
4/1/2020,United Kingdom,,,,United Kingdom,Full Fact,Five helicopters are going to spray the air with disinfectant overnight in order to combat the new coronavirus,Facebook,https://www.facebook.com/photo.php?fbid=231478814706805&set=a.107126920475329&type=3&theater,fullfact.org/health/coronavirus-helicopters/,English,FALSE,This is a false rumour that has spread all over the world.
